name,status,feat_type,reo,x,y
Boggy Creek,Unofficial Recorded,Stream,0,172.325528,-43.741306
Boggy Pond Lagoon,Unofficial Recorded,Lake,0,175.265444,-41.248389
Boggy Saddle,Unofficial Recorded,Pass,0,168.962667,-45.518833
Bogle Creek,Unofficial Recorded,Stream,0,169.120778,-46.492611
Boil Gully,Official Assigned,Valley,0,172.367693,-43.088362
Boil Hole,Unofficial Recorded,Lake,0,168.988722,-43.95825
Boil the Billy Creek,Unofficial Recorded,Stream,0,168.959194,-44.468417
Boiler Creek,Unofficial Recorded,Stream,0,169.6875,-43.548361
Boiler Flat,Official Assigned,Flat,0,169.256364,-44.193568
Bokel Bay,Official Assigned,Bay,0,174.628266,-36.978247
Bokel Creek,Official Assigned,Stream,0,174.630782,-36.974396
Boko Stream,Unofficial Recorded,Stream,0,172.578583,-42.524944
Bold Hill,Unofficial Recorded,Hill,0,171.898389,-43.213083
Bold Peak,Unofficial Recorded,Hill,0,168.302278,-44.847861
Bollons Rock,Unofficial Recorded,Island,0,174.867611,-36.593
Bollons Rock,Unofficial Recorded,Reef,0,174.875,-36.59
Bolton Hole,Unofficial Recorded,Hole,0,173.25,-41.27
Bolton Stream,Official Assigned,Stream,0,173.689338,-41.840172
Boltons Gully,Unofficial Recorded,Valley,0,170.219111,-44.0265
Boltons Gully Lagoon,Official Assigned,Lake,0,170.250025,-43.974431
Boltons Gully Stream,Official Assigned,Stream,0,170.211099,-44.028406
Bomb Bay,Unofficial Recorded,Bay,0,174.670944,-36.797778
Bombay,Unofficial Recorded,Locality,0,174.984861,-37.187917
Bombay Rock,Unofficial Recorded,Island,0,168.26625,-46.510111
Bon Accord Harbour,Unofficial Recorded,Bay,0,174.83075,-36.423528
Bonanza Water Race,Unofficial Recorded,Stream,0,169.514194,-45.237111
Bonar Creek,Unofficial Recorded,Stream,0,170.631639,-43.084528
Bonar Creek,Unofficial Recorded,Stream,0,171.088472,-43.021139
Bonar Flats,Official Assigned,Flat,0,168.78796,-44.264642
Bonar Glacier,Unofficial Recorded,Glacier,0,168.706722,-44.394556
Bonar Knob,Unofficial Recorded,Point,0,168.225694,-44.155917
Bonar Range,Unofficial Recorded,Range,0,170.672583,-43.085583
Bonar River,Unofficial Recorded,Stream,0,168.795806,-44.274611
Bond Creek,Unofficial Recorded,Stream,0,171.00325,-43.150972
Bonds Creek,Unofficial Recorded,Stream,0,169.704944,-45.50475
Bonds Peak,Unofficial Recorded,Hill,0,171.038528,-43.167
Bone Creek,Official Approved,Stream,0,172.56375,-40.621389
Bone Mill Stream,Unofficial Recorded,Stream,0,175.505333,-37.096333
Bone Yard,Official Assigned,Recreation,0,175.538049,-39.302363
Bones Spur,Unofficial Recorded,Ridge,0,169.015333,-43.979333
Bonne Point,Unofficial Recorded,Point,0,173.914694,-40.860861
Bonney Glacier,Unofficial Recorded,Glacier,0,170.314528,-43.551972
Bonnie Jean Creek,Official Assigned,Stream,0,168.444546,-44.85424
Bonny Doon Creek,Official Approved,Stream,0,172.545083,-40.735056
Bonny Glen,Unofficial Recorded,Locality,0,175.30475,-40.055806
Bonny Stream,Unofficial Recorded,Stream,0,169.340611,-44.013
Bony Creek,Unofficial Recorded,Stream,0,168.533389,-43.998306
Boo Boo Stream,Unofficial Recorded,Stream,0,174.232278,-41.783722
Boojum Creek,Unofficial Recorded,Stream,0,170.983722,-43.000444
Boom Rock,Unofficial Recorded,Island,0,174.739167,-41.176528
Boom Stream,Unofficial Recorded,Stream,0,175.810944,-37.078694
Boomerang Breaker,Unofficial Recorded,Reef,0,167.825,-47.475
Boomerang Slip,Unofficial Recorded,Rock,0,174.068306,-39.27575
Boomerang Terrace,Unofficial Recorded,Flat,0,168.670556,-44.882333
Booths Creek,Unofficial Recorded,Stream,0,175.542278,-41.047083
Border Creek,Official Assigned,Stream,0,169.846932,-43.544392
Border Creek,Unofficial Recorded,Stream,0,169.524611,-43.955083
Borland Burn,Unofficial Recorded,Stream,0,167.518417,-45.750028
Borland Burn Middle Branch,Unofficial Recorded,Stream,0,167.414417,-45.693583
Borland Burn North Branch,Unofficial Recorded,Stream,0,167.460806,-45.662917
Borland Burn South Branch,Unofficial Recorded,Stream,0,167.450472,-45.735889
Borland Mire Scientific Reserve,Official Validated,scientific reserve,1,167.553333,-45.786944
Borlase Stream,Official Assigned,Stream,0,172.8683,-41.815211
Borneo Stream,Unofficial Recorded,Stream,0,173.620056,-35.216944
Boro Dam,Unofficial Recorded,Facility,0,176.265694,-37.797333
Borough of Tawa,Unofficial Discontinued,Local Government,1,174.825139,-41.170948
Borough of Tawa Flat,Unofficial Replaced,Local Government,1,174.825139,-41.170948
Borrell Creek,Official Assigned,Stream,0,171.086394,-44.10404
Borrell Creek Cutting,Official Assigned,Valley,0,171.086319,-44.127368
Bortons,Unofficial Recorded,Locality,0,170.768528,-44.879861
Bortons Pond,Unofficial Recorded,Lake,0,170.796914,-44.878913
Bosanquet Bay,Unofficial Replaced,Bay,0,174.860362,-36.443615
Bosky Gully,Unofficial Recorded,Valley,0,168.930667,-44.147917
Bossu,Unofficial Recorded,Hill,0,172.886972,-43.84925
Bostaquet Bay,Official Assigned,Bay,0,174.860362,-36.443615
Bosun Creek,Unofficial Recorded,Stream,0,170.820528,-43.05175
Bosun Creek,Unofficial Recorded,Stream,0,172.215361,-41.190694
Bosun Creek,Unofficial Recorded,Stream,0,175.880194,-39.833861
Botanical Hill,Unofficial Recorded,Hill,0,173.299667,-41.272889
Botanical Spur,Unofficial Recorded,Ridge,0,170.199917,-43.707806
Botany Creek,Official Assigned,Stream,0,174.90896,-36.913144
Botany Downs,Unofficial Recorded,Suburb,0,174.919861,-36.907972
Bottle Bay,Unofficial Recorded,Bay,0,173.954528,-41.253056
Bottle Hill,Official Assigned,Hill,0,172.190429,-43.2205
Bottle Lake,Official Assigned,Lake,0,172.676365,-43.463593
Bottle Lake,Unofficial Recorded,Wetland,0,172.670306,-43.460972
Bottle Point,Unofficial Recorded,Point,0,173.832083,-40.753861
Bottle Rock,Unofficial Recorded,Hill,0,169.686639,-45.565972
Bottle Rock,Unofficial Recorded,Island,0,174.24175,-41.126639
Bottle Rock,Unofficial Recorded,Rock,0,169.901528,-45.730806
Bottle Top Bay,Unofficial Recorded,Bay,0,174.904222,-37.068861
Bottom Bush Scenic Reserve,Official Validated,scenic reserve,0,176.370833,-40.385278
Bottom Flat,Unofficial Recorded,Flat,0,171.713028,-42.415806
Boucher Stream,Unofficial Recorded,Stream,0,172.452,-42.398694
Boulcott,Unofficial Recorded,Suburb,0,174.9195,-41.202139
Boulcott Post Office,Unofficial Discontinued,Building,0,174.928266,-41.20275
Boulder Bank,Unofficial Replaced,Coast Feature,0,174.09466,-41.525229
Boulder Bank Recreation Reserve,Official Validated,recreation reserve,0,173.282222,-41.245556
Boulder Bank Scenic Reserve,Official Validated,scenic reserve,0,173.305,-41.224722
Boulder Basin,Unofficial Recorded,Basin,0,168.098194,-44.676222
Boulder Bay,Official Assigned,Bay,0,172.796528,-43.581682
Boulder Bay,Official Assigned,Bay,0,174.518277,-37.0381
Boulder Bay,Official Assigned,Bay,0,174.746295,-35.890555
Boulder Bay,Unofficial Recorded,Bay,0,174.879306,-36.768111
Boulder Bay,Unofficial Recorded,Bay,0,176.963556,-37.85575
Boulder Beach,Official Assigned,Beach,0,168.1221,-46.930913
Boulder Beach,Unofficial Recorded,Beach,0,170.6115,-45.896611
Boulder Beach,Unofficial Recorded,Beach,0,175.791444,-36.693444
Boulder Bed Stream,Unofficial Recorded,Stream,0,174.118667,-35.53475
Boulder Burn,Unofficial Recorded,Stream,0,169.257083,-46.433694
Boulder Col,Official Assigned,Pass,0,171.041248,-43.329777
Boulder Creek,Unofficial Recorded,Stream,0,169.331583,-43.763722
Boulder Creek,Unofficial Recorded,Stream,0,172.032,-41.437694
Boulder Creek,Unofficial Recorded,Stream,0,172.196194,-42.052861
Boulder Creek,Unofficial Recorded,Stream,0,175.02925,-41.319778
Boulder Hill,Official Assigned,Hill,0,174.937017,-41.15209
Boulder Hill,Unofficial Recorded,Hill,0,170.3685,-45.795833
Boulder Isthmus,Unofficial Recorded,Isthmus,0,175.907917,-36.625528
Boulder Lake,Official Approved,Lake,0,172.578667,-40.895056
Boulder Point,Unofficial Recorded,Point,0,167.525278,-44.881556
Boulder Point,Unofficial Recorded,Point,0,173.065417,-40.876194
Boulder Point,Unofficial Recorded,Stream,0,168.716111,-44.113722
Boulder Pool,Official Assigned,Pool,0,175.830049,-39.043476
Boulder Pool,Unofficial Recorded,Lake,0,175.826861,-39.044639
Boulder Rapid,Unofficial Recorded,Waterfall,0,177.738889,-37.986833
Boulder Reach,Unofficial Recorded,Stream,0,167.651972,-45.503361
Boulder River,Official Approved,Stream,0,172.544528,-40.829472
Boulder Spit Point,Unofficial Recorded,Point,0,173.809,-40.849944
Boulder Stream,Official Assigned,Stream,0,172.589802,-41.844054
Boulder Stream,Unofficial Recorded,Stream,0,173.099056,-41.638167
Boulder Stream,Unofficial Recorded,Stream,0,173.220611,-41.773972
Boulder Stream,Unofficial Recorded,Stream,0,174.614111,-36.247194
Boulder Stream,Unofficial Recorded,Stream,0,175.28275,-41.026944
Boulderpool Creek,Official Assigned,Stream,0,170.677374,-43.265337
Boulderstone Stream,Unofficial Recorded,Stream,0,171.342583,-43.202917
Bouldery Creek,Unofficial Recorded,Stream,0,173.014389,-41.628222
Bouldery Stream,Official Assigned,Stream,0,173.418783,-41.864105
Bound Creek,Unofficial Recorded,Stream,0,171.117806,-42.954028
Boundary,Unofficial Recorded,Hill,0,173.251139,-41.905556
Boundary Basin,Official Assigned,Basin,0,171.185145,-43.145152
Boundary Bay,Unofficial Recorded,Bay,0,173.058,-40.940806
Boundary Bay Scenic Reserve,Official Validated,scenic reserve,0,173.053333,-40.939722
Boundary Creek,Official Assigned,Stream,0,171.162806,-43.146441
Boundary Creek,Unofficial Recorded,Stream,0,167.710278,-46.127167
Boundary Creek,Unofficial Recorded,Stream,0,167.802278,-45.305
Boundary Creek,Unofficial Recorded,Stream,0,168.749917,-45.764778
Boundary Creek,Unofficial Recorded,Stream,0,168.772028,-46.040139
Boundary Creek,Unofficial Recorded,Stream,0,169.006028,-44.855167
Boundary Creek,Unofficial Recorded,Stream,0,169.056361,-46.393833
Boundary Creek,Unofficial Recorded,Stream,0,169.180583,-44.348167
Boundary Creek,Unofficial Recorded,Stream,0,169.232139,-46.49025
Boundary Creek,Unofficial Recorded,Stream,0,169.433222,-43.679889
Boundary Creek,Unofficial Recorded,Stream,0,169.4455,-44.325861
Boundary Creek,Unofficial Recorded,Stream,0,169.475167,-43.985139
Boundary Creek,Unofficial Recorded,Stream,0,169.575694,-45.595056
Boundary Creek,Unofficial Recorded,Stream,0,169.685222,-45.924111
Boundary Creek,Unofficial Recorded,Stream,0,169.811389,-44.72425
Boundary Creek,Unofficial Recorded,Stream,0,170.162528,-45.727861
Boundary Creek,Unofficial Recorded,Stream,0,170.171306,-44.874111
Boundary Creek,Unofficial Recorded,Stream,0,170.174694,-45.352972
Boundary Creek,Unofficial Recorded,Stream,0,170.3205,-45.097333
Boundary Creek,Unofficial Recorded,Stream,0,171.362917,-43.501722
Boundary Creek,Unofficial Recorded,Stream,0,173.072611,-42.988333
Boundary Creek,Unofficial Recorded,Stream,0,173.087556,-41.505278
Boundary Creek,Unofficial Recorded,Stream,0,173.387139,-41.536139
Boundary Creek,Unofficial Recorded,Stream,0,173.420472,-41.649167
Boundary Creek,Unofficial Recorded,Stream,0,173.890056,-41.677944
Boundary Creek,Unofficial Recorded,Stream,0,175.139222,-41.326944
Boundary Creek Scenic Reserve,Official Validated,scenic reserve,0,169.188611,-44.364722
Boundary Creek Scenic Reserve,Official Validated,scenic reserve,0,173.376389,-41.678056
Boundary Gully,Official Assigned,Valley,0,170.163808,-44.557228
Boundary Gully,Official Assigned,Valley,0,172.318068,-42.839822
Boundary Gully,Unofficial Recorded,Valley,0,173.120083,-41.433056
Boundary Hill,Unofficial Recorded,Hill,0,171.642833,-43.330611
Boundary Peak,Unofficial Recorded,Hill,0,172.053611,-41.84975
Boundary Rock,Official Assigned,Rock,0,-176.379552,-44.062285
Boundary Rock,Official Assigned,Rock,0,183.620448,-44.062285
Boundary Stream,Official Assigned,Stream,0,172.144377,-43.080029
Boundary Stream,Official Assigned,Stream,0,172.306842,-42.607968
Boundary Stream,Official Assigned,Stream,0,172.620228,-42.594175
Boundary Stream,Official Assigned,Stream,0,173.359858,-42.604543
Boundary Stream,Unofficial Recorded,Stream,0,170.095361,-44.044472
Boundary Stream,Unofficial Recorded,Stream,0,170.291833,-44.654056
Boundary Stream,Unofficial Recorded,Stream,0,170.610111,-43.898444
Boundary Stream,Unofficial Recorded,Stream,0,171.193056,-43.778194
Boundary Stream,Unofficial Recorded,Stream,0,171.416889,-43.159417
Boundary Stream,Unofficial Recorded,Stream,0,171.683528,-43.48
Boundary Stream,Unofficial Recorded,Stream,0,171.774556,-43.493583
Boundary Stream,Unofficial Recorded,Stream,0,171.946417,-42.998417
Boundary Stream,Unofficial Recorded,Stream,0,172.620228,-42.594175
Boundary Stream,Unofficial Recorded,Stream,0,172.934472,-42.535056
Boundary Stream,Unofficial Recorded,Stream,0,172.967972,-42.338944
Boundary Stream,Unofficial Recorded,Stream,0,173.361,-41.783583
Boundary Stream,Unofficial Recorded,Stream,0,173.644083,-42.113806
Boundary Stream,Unofficial Recorded,Stream,0,173.871472,-41.824694
Boundary Stream,Unofficial Recorded,Stream,0,173.937278,-41.996139
Boundary Stream,Unofficial Recorded,Stream,0,174.1,-41.590917
Boundary Stream,Unofficial Recorded,Stream,0,176.82775,-39.106917
Boundary Stream,Unofficial Recorded,Stream,0,176.965861,-39.077361
Boundary Stream,Unofficial Replaced,Stream,0,172.635721,-42.578563
Boundary Tarns,Official Assigned,Lake,0,170.408592,-43.913695
Bounds,Unofficial Recorded,Hill,0,173.307694,-41.770833
Bounty Basin,Unofficial Recorded,Basin,0,167.5,-44.865
Bounty Channel,Official Adopted,Seachannel,0,176.5,-45.75
Bounty Fan,Official Adopted,Fan,0,-175,-47
Bounty Fan,Official Adopted,Fan,0,185,-47
Bounty Haven,Unofficial Recorded,Bay,0,167.510417,-44.870472
Bounty Islands,Official Assigned,Island,0,179.047222,-47.756944
Bounty Plateau,Official Adopted,Plateau,0,179,-48
Bounty Ridge,Official Adopted,Ridge,0,177,-47.5
Bounty Shelf,Unofficial Recorded,Shelf,0,179.25,-47.583333
Bounty Trough,Official Adopted,Trough,0,177.5,-46.25
Bourkes Rock,Unofficial Recorded,Hill,0,172.013,-42.008056
Bourne Stream,Unofficial Recorded,Stream,0,173.112306,-42.645556
Bovis Creek,Unofficial Recorded,Stream,0,171.465972,-42.122056
Bovis Creek,Unofficial Recorded,Stream,0,172.232139,-41.181056
Bow Alley Creek,Official Assigned,Stream,0,170.851946,-45.239576
Bow Peak,Official Assigned,Hill,0,168.637968,-44.399439
Bowden Scenic Reserve,Official Validated,scenic reserve,0,174.141667,-39.044444
Bowels of the Earth,Unofficial Recorded,Valley,0,168.505944,-45.329806
Bowen Channel,Unofficial Recorded,Channel,0,166.687806,-45.750667
Bowen Col,Official Assigned,Pass,0,167.93475,-44.588434
Bowen Falls,Unofficial Recorded,Waterfall,0,167.926583,-44.665333
Bowen Hill,Unofficial Recorded,Hill,0,167.933361,-44.665
Bowen Peak,Unofficial Recorded,Hill,0,168.639167,-44.996528
Bowen River,Unofficial Recorded,Stream,0,167.934944,-44.645667
Bowentown,Unofficial Recorded,Locality,0,175.986778,-37.466056
Bowentown Heads,Unofficial Recorded,Point,0,175.992778,-37.46525
Bowie Ridge,Official Assigned,Ridge,0,170.150141,-43.587191
Bowlers Creek,Unofficial Recorded,Locality,0,169.618306,-45.881639
Bowlers Creek,Unofficial Recorded,Stream,0,169.616833,-45.844528
Bowlers Creek Scenic Reserve,Official Validated,scenic reserve,0,170.412222,-45.900556
Bowling Alley Bay,Unofficial Recorded,Bay,0,175.324028,-36.222639
Bowmar Falls,Official Assigned,Waterfall,0,167.98407,-44.853233
Bowscale Tarn,Unofficial Recorded,Lake,0,172.954333,-42.128
Bowyang Mount,Official Assigned,Hill,0,168.600191,-44.697101
Bowyers Stream,Unofficial Recorded,Stream,0,171.396639,-43.612583
Box Stream,Unofficial Recorded,Stream,0,173.927917,-41.881639
Boxwood Stream,Official Assigned,Stream,0,170.031846,-44.541449
Boyd Creek,Unofficial Recorded,Stream,0,167.968528,-45.143194
Boyd Creek,Unofficial Recorded,Stream,0,170.072639,-43.511167
Boyd Stream,Official Assigned,Stream,0,173.646634,-42.190208
Boyd Stream,Official Assigned,Stream,0,174.605474,-36.958586
Boyd Stream,Unofficial Recorded,Stream,0,172.440139,-41.50625
Boyd Stream,Unofficial Recorded,Stream,0,175.865222,-37.559417
Boyd-Wilson Creek,Unofficial Recorded,Stream,0,175.290694,-40.827361
Boyd-Wilson Knob,Unofficial Recorded,Hill,0,175.290028,-40.931778
Boyds Creek,Unofficial Recorded,Stream,0,169.791722,-43.461306
Boyds Creek,Unofficial Recorded,Stream,0,170.213028,-45.716194
Boyds Hill,Unofficial Recorded,Hill,0,174.82925,-36.4295
Boyds Rocks,Unofficial Recorded,Rock,0,176.1655,-39.151139
Boyle River,Unofficial Recorded,Stream,0,172.460417,-42.460167
Boyle Village,Official Assigned,Village,0,172.387021,-42.51764
Boys Col,Official Assigned,Pass,0,168.501009,-44.473573
Boys Glacier,Unofficial Recorded,Glacier,0,170.176167,-43.606944
Braan Mountains,Unofficial Recorded,Range,0,167.040611,-45.631722
Brabant Scenic Reserve,Official Validated,scenic reserve,0,174.884444,-37.990556
Brabazon Downs,Official Assigned,Area,0,170.865271,-43.610478
Brabazon Range,Unofficial Recorded,Range,0,170.751528,-43.606778
Brabazon Saddle,Official Assigned,Pass,0,170.76334,-43.602354
Brabazon Stream,Official Assigned,Stream,0,170.862456,-43.61615
Bracken Snowfield,Unofficial Recorded,Glacier,0,170.930806,-43.194278
Brackens Gully,Unofficial Recorded,Valley,0,168.872806,-44.924417
Bradeys Bay,Unofficial Recorded,Bay,0,174.890222,-41.104306
Bradford,Unofficial Recorded,Suburb,0,170.465944,-45.877722
Bradley Cove,Official Assigned,Bay,0,179.022831,-47.748478
Bradley Point,Unofficial Recorded,Point,0,174.710333,-36.451722
Bradley Stream,Unofficial Recorded,Stream,0,171.864056,-41.621583
Bradshaw Basin,Official Adopted,Basin,0,167.056726,-45.289241
Bradshaw Cove,Unofficial Recorded,Bay,0,175.322278,-36.170028
Bradshaw Creek,Unofficial Recorded,Stream,0,170.844472,-43.188194
Bradshaw Sound,Unofficial Recorded,Bay,0,167.100917,-45.28175
Bradshaw Stream,Unofficial Recorded,Stream,0,175.701472,-37.334083
Bradshaws Creek,Unofficial Recorded,Stream,0,171.558361,-41.759139
Brady Creek,Unofficial Recorded,Stream,0,169.259139,-44.196111
Brae Burn,Unofficial Recorded,Stream,0,167.259639,-45.521028
Brae Creek,Unofficial Recorded,Stream,0,169.410056,-44.050194
Braeburn,Unofficial Recorded,Locality,0,172.993167,-41.185778
Braeburn Hydro-electric Scheme,Unofficial Discontinued,Facility,0,172.480048,-41.81109
Braeburn Range,Official Assigned,Range,0,172.543774,-41.756608
Braeburn Recreation Reserve,Official Validated,recreation reserve,0,172.475,-41.826111
Braemar Kettleholes,Official Assigned,Lake,0,170.215247,-43.987742
Braemar Spring,Unofficial Recorded,Spring,0,176.739333,-37.968167
Brag Creek,Unofficial Recorded,Stream,0,169.269583,-43.912167
Bragg Bay,Official Assigned,Bay,0,168.137646,-46.888853
Bragg Creek,Unofficial Recorded,Stream,0,173.90425,-41.354167
Bragg Nugget,Official Assigned,Island,0,168.138817,-46.889899
Bragg Point,Official Assigned,Point,0,168.145386,-46.888828
Braid Road Post Office,Unofficial Discontinued,Building,0,175.259047,-37.757725
Braida Crags,Official Assigned,Hill,0,167.839833,-46.006237
Braida Crags,Unofficial Recorded,Cliff,0,167.838833,-46.004333
Braigh,Unofficial Recorded,Locality,0,174.417139,-36.002083
Brames Falls,Unofficial Recorded,Waterfall,0,174.015333,-39.324167
Bramhall Creek,Unofficial Recorded,Stream,0,170.942722,-43.001083
Brampton Bank,Unofficial Recorded,Bank,0,174.09,-35.243333
Brampton Shoal,Unofficial Recorded,Reef,0,174.079972,-35.243306
Branch Brook,Unofficial Recorded,Stream,0,168.816,-44.028861
Branch Burn,Unofficial Recorded,Stream,0,169.007611,-44.808222
Branch Creek,Unofficial Recorded,Stream,0,169.217889,-44.022
Branch Creek,Unofficial Recorded,Stream,0,170.548528,-45.079083
Branch Creek,Unofficial Recorded,Stream,0,172.388444,-42.144111
Branch River,Unofficial Recorded,Stream,0,173.097556,-41.854222
Branch River,Unofficial Recorded,Stream,0,173.905667,-41.638833
Branch Stream,Unofficial Recorded,Stream,0,173.699861,-42.020472
Branchions Creek,Unofficial Recorded,Stream,0,168.238528,-44.203694
Brands Gully,Official Assigned,Valley,0,170.364416,-44.417078
Brandy Gully,Unofficial Recorded,Valley,0,169.252722,-45.965833
Brandy Jack Creek,Unofficial Recorded,Stream,0,171.632806,-42.325444
Brandy Point,Official Approved,Point,0,172.610111,-40.781088
Branxholme,Unofficial Recorded,Locality,0,168.303917,-46.294639
Brasell Point,Official Assigned,Point,0,167.157225,-45.462895
Brasenose,Official Assigned,Hill,0,172.978084,-43.83641
Brass Peak,Unofficial Recorded,Hill,0,170.227167,-43.746694
Brassey Creek,Unofficial Recorded,Stream,0,169.9145,-43.721556
Brasseys Creek,Unofficial Recorded,Stream,0,169.913556,-45.206944
Brassington Rocks,Official Assigned,Rock,0,171.956094,-43.140841
Brassknocker Creek,Unofficial Recorded,Stream,0,169.456306,-45.143028
Brattys Bush Scenic Reserve,Official Validated,scenic reserve,0,174.4875,-35.610556
Braun-Elwert Peak,Official Assigned,Hill,0,170.691782,-43.729574
Bravo Island,Unofficial Recorded,Island,0,168.136056,-46.96175
Braxton Burn,Unofficial Recorded,Stream,0,168.090778,-45.700833
Bray Creek,Official Approved,Stream,0,172.605199,-40.895504
Bray Creek,Unofficial Recorded,Stream,0,171.3825,-42.390611
Bray Creek,Unofficial Recorded,Stream,0,173.316056,-41.370806
Brazier Rock,Unofficial Recorded,Island,0,174.729,-36.529806
Breach Point,Unofficial Recorded,Point,0,174.428667,-36.427056
Break Creek,Official Approved,Stream,0,172.119171,-41.159621
Break Creek,Unofficial Recorded,Stream,0,169.682611,-43.558417
Break Creek Right Branch,Official Approved,Stream,0,172.128633,-41.166194
Break My Neck,Unofficial Recorded,Hill,0,168.223583,-45.924222
Break Neck Face,Unofficial Recorded,Cliff,0,168.702611,-44.251333
Break-me-up Creek,Official Approved,Stream,0,172.693361,-40.834028
Breakaway,Unofficial Recorded,Glacier,0,168.702278,-44.40525
Breakaway Pool,Unofficial Recorded,Lake,0,175.818806,-39.04375
Breakdown Creek,Unofficial Recorded,Stream,0,168.111722,-45.890833
Breaker Bay,Unofficial Recorded,Bay,0,173.022306,-41.033556
Breaker Bay,Unofficial Recorded,Bay,0,174.832028,-41.3325
Breaker Point,Unofficial Recorded,Point,0,166.521917,-45.995472
Breakfast Creek,Official Approved,Stream,0,172.494389,-41.094806
Breakfast Pool,Official Assigned,Pool,0,175.813261,-38.998628
Breakfast Pool,Unofficial Recorded,Lake,0,175.813667,-38.998472
Breakheart Peak,Official Assigned,Hill,0,176.356874,-39.679045
Breakneck Creek,Unofficial Replaced,Stream,0,167.368996,-46.177938
Breakneck Gully,Unofficial Recorded,Valley,0,169.210083,-44.910778
Breakneck Spur,Unofficial Recorded,Ridge,0,169.207389,-44.913639
Breaksea Basin,Official Adopted,Basin,0,166.383471,-45.483317
Breaksea Bay,Unofficial Recorded,Bay,0,172.225583,-42.693972
Breaksea Canyon,Unofficial Recorded,Canyon,0,166.5,-45.583333
Breaksea Island,Unofficial Recorded,Island,0,166.639694,-45.580056
Breaksea Sound,Unofficial Recorded,Bay,0,166.872694,-45.546306
Bream Bay,Unofficial Recorded,Bay,0,174.501972,-35.910694
Bream Head,Unofficial Recorded,Point,0,174.591583,-35.853556
Bream Head Scenic Reserve,Official Validated,scenic reserve,0,174.561944,-35.851944
Bream Islands,Unofficial Recorded,Island,0,174.586833,-35.838944
Bream Islands Nature Reserve,Official Validated,nature reserve,0,174.593333,-35.838611
Bream Islands Scenic Reserve,Official Validated,scenic reserve,0,174.580833,-35.8375
Bream Knolls,Official Adopted,Knoll,0,175.15,-35.666667
Bream Rock,Unofficial Recorded,Reef,0,174.601667,-35.836667
Bream Tail,Unofficial Replaced,Point,0,174.588597,-36.045869
Bream Tail Scenic Reserve,Official Validated,scenic reserve,0,174.562778,-36.061389
Breast Creek,Unofficial Recorded,Stream,0,169.414917,-44.619167
Breast Hill,Unofficial Recorded,Hill,0,169.356944,-44.562139
Breast Peak,Unofficial Recorded,Hill,0,169.363889,-44.597139
Breccia Creek,Official Assigned,Stream,0,169.204546,-43.733377
Brechin Burn,Official Assigned,Stream,0,172.027851,-43.029957
Brecia Creek,Unofficial Replaced,Stream,0,169.204546,-43.733377
Breeze Bay,Official Assigned,Bay,0,172.784943,-43.596477
Breezer Stream,Unofficial Recorded,Stream,0,173.3355,-41.704389
Breezy Ridge,Unofficial Recorded,Ridge,0,169.49425,-43.991028
Bregman Wildlife Management Reserve,Official Validated,Government purpose reserve,0,176.792222,-37.905833
Bremner Bay,Official Assigned,Bay,0,169.121882,-44.676742
Brenda Peak,Official Assigned,Hill,0,168.276836,-44.513779
Brendan Beach,Unofficial Recorded,Beach,0,174.897528,-41.029083
Brennans Creek,Unofficial Recorded,Stream,0,171.024278,-42.724972
Brentnall Creek,Unofficial Recorded,Stream,0,171.228472,-42.863306
Brereton Cove,Unofficial Recorded,Bay,0,173.057833,-40.859417
Breton Glen,Official Assigned,Valley,0,174.528928,-36.961133
Bretts Stream,Unofficial Recorded,Stream,0,171.577417,-42.960361
Brewer Creek,Official Approved,Stream,0,172.456472,-40.845139
Brewer Spur,Unofficial Recorded,Ridge,0,168.866306,-44.04075
Brewer Water,Unofficial Recorded,Stream,0,168.824833,-44.030472
Brewerton Creek,Unofficial Recorded,Stream,0,172.811444,-41.537444
Brewerton Creek Left Branch,Unofficial Recorded,Stream,0,172.820472,-41.534306
Brewery Creek,Unofficial Recorded,Stream,0,169.219583,-45.058056
Brewery Creek,Unofficial Recorded,Stream,0,172.550583,-41.630917
Brewery Spring,Unofficial Recorded,Spring,0,177.976306,-38.602583
Brewery Stream,Unofficial Recorded,Stream,0,171.943361,-41.534417
Brewis Shoal,Unofficial Recorded,Reef,0,176.37825,-37.570167
Brewis Shoal,Unofficial Recorded,Shoal,0,176.378333,-37.573333
Brewster Creek,Unofficial Recorded,Stream,0,169.442667,-44.047444
Brewster Glacier,Unofficial Recorded,Glacier,0,169.435389,-44.07625
Brian Boru,Unofficial Recorded,Hill,0,173.940944,-41.904278
Brian Boru Creek,Unofficial Recorded,Stream,0,171.510917,-42.437722
Brian Boru Gully,Unofficial Recorded,Valley,0,171.509833,-42.384611
Brian Boru Stream,Official Assigned,Stream,0,173.957049,-41.900967
Briar Creek,Unofficial Recorded,Stream,0,169.375444,-44.000667
Briar Gully,Official Assigned,Valley,0,170.208343,-44.582391
Briary Gully,Unofficial Recorded,Valley,0,173.352667,-41.639917
Brice Falls,Official Assigned,Waterfall,0,172.603766,-43.623766
Brickbat Bay,Unofficial Recorded,Bay,0,174.671861,-36.803972
Brickfield Bay,Unofficial Recorded,Bay,0,175.490472,-36.779611
Bricks Gully,Unofficial Recorded,Valley,0,169.460139,-44.3135
Bridal Creek,Official Assigned,Stream,0,174.896896,-37.828678
Bridal Veil Creek,Unofficial Recorded,Stream,0,171.562083,-42.926917
